case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4969879,property damage only,34.21166,-118.22816,unincorporated,daylight,12:30:00,0,highway,wet,normal,raining,1,proof of insurance obtained,62,male,not applicable,0,ford,2006,1,1,1,5,2,4,ford,1,1,1,1,0,1
4969895,property damage only,34.1526,-118.28556,>250000,daylight,16:13:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,40,female,not applicable,0,honda,2008,2,1,8,5,2,2,honda,1,1,1,1,0,1
4970208,property damage only,33.14488,-117.1026,100000 to 250000,daylight,08:04:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,27,female,not applicable,0,toyota,2001,2,1,7,5,2,2,toyota,2,1,1,1,0,1
4970249,pain,33.3943,-117.17298,unincorporated,daylight,17:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,35,male,not applicable,0,chevrolet,2009,1,2,1,5,1,1,chevrolet,1,1,1,1,0,1
4970287,property damage only,34.40549,-119.53765,10000 to 25000,daylight,07:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,female,not applicable,0,acura,1989,2,1,4,5,1,1,acura,1,1,1,1,0,1
4970532,pain,34.05962,-117.29722,25000 to 50000,daylight,14:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,56,male,not applicable,0,ford,2010,1,2,5,5,1,1,ford,1,1,1,1,0,1
4970579,property damage only,34.05832,-118.16516,50000 to 100000,daylight,11:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,52,male,not applicable,0,international harvester,2005,1,1,6,5,1,1,international harvester,1,1,1,1,0,1
4971612,property damage only,33.88284,-118.02808,25000 to 50000,daylight,12:15:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,volvo,2001,1,1,5,5,1,1,volvo,2,1,1,1,0,1
4971620,property damage only,33.9462,-118.09133,50000 to 100000,daylight,08:07:00,0,highway,wet,normal,raining,1,proof of insurance obtained,37,male,not applicable,0,ford,2009,1,1,6,5,2,4,ford,1,1,1,1,0,1
4971672,property damage only,33.84739,-117.607,>250000,dark with no street lights,21:00:00,0,highway,wet,normal,raining,1,proof of insurance obtained,29,male,not applicable,0,freightliner,2010,1,1,8,1,2,4,freightliner,1,1,1,1,0,1
